zipcode,size_rank,state,2016-2017_mean_zillow_score,2016-2017_%change_zillow_score,< 5_years,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,median_household_income,mean_household_income
10004,9652,NY,1435446.1538461538,0.020038100613843222,0.039118286246507296,0.03135672151505744,0.0499844768705371,0.07047500776156473,0.07916796026078858,0.2660664389941012,0.1775846010555728,0.12014902204284383,0.05153678981682707,0.06054020490530891,0.05060540204905309,0.0034150884818379386,0.0,119691,177262
10005,6829,NY,1275392.3076923077,0.011619634811477354,0.036772844668552455,0.030746525642602385,0.017218054359857335,0.010453818718484812,0.13540769893002091,0.4538187184848112,0.2085844299594146,0.07760423072192842,0.013651457385315459,0.0047964580002459725,0.01094576312876645,0.0,0.0,124194,176424
10006,9424,NY,845207.6923076923,0.008664090855871678,0.08585209003215434,0.015112540192926046,0.008038585209003215,0.0077170418006430866,0.11382636655948553,0.4678456591639871,0.17909967845659164,0.0752411575562701,0.03504823151125402,0.012218649517684888,0.0,0.0,0.0,123691,162688
10007,8660,NY,2699369.230769231,0.025352635486265776,0.049738219895287955,0.07024432809773123,0.033304246655032,0.04173938336242001,0.03504944735311227,0.258435136707388,0.2367655613728912,0.13670738801628854,0.041157649796393254,0.06050029086678301,0.01977894124490983,0.016433973240255962,0.00014543339150668993,"250,000+",441278
10012,2147,NY,2193915.3846153845,0.0807949881183841,0.031908289533584405,0.01589206638248562,0.02818358647518934,0.01899598559781484,0.11538302363117163,0.30956420974216775,0.1466705293216902,0.10280180441170385,0.04664155940901378,0.05756735504697264,0.0771427388983156,0.035136365517526795,0.01411248603236353,100859,141430
10013,1934,NY,3031146.153846154,0.039454456892352656,0.06244756520153201,0.04198431515593653,0.031296735363851906,0.038263724238555535,0.08360386649644355,0.20725879992704724,0.1707094656210104,0.09542221411635966,0.052307131132591646,0.07364581433521794,0.08207185847163961,0.03403246397957323,0.026956045960240742,96667,242875
10014,434,NY,1537153.8461538462,0.09507587488386497,0.02779314609301266,0.02385524131870993,0.019461711198620106,0.014580011065186969,0.03823998437855957,0.32922185699873074,0.1662056172096202,0.13942135581085038,0.05421941614866404,0.05578156019136264,0.08868421909070198,0.03072216617307254,0.011813714322908191,113973,179375
10016,11,NY,956776.9230769231,0.12955346650998825,0.04196204656306155,0.018009123042593944,0.01976659228688217,0.026618747655062103,0.10047194960605044,0.3256057344839162,0.12489879741711261,0.11725676823127505,0.05059141802097115,0.048063821804466736,0.06952864279931281,0.03931596927390849,0.017910388815386744,104826,152944
10017,3261,NY,828507.6923076923,0.13919454225352113,0.037821758135017,0.016634288489558037,0.0044317629917435646,0.010684798445847498,0.0695726080621661,0.3172049538610976,0.15080135988343857,0.12190383681398738,0.05949490043710539,0.04182855755220981,0.10387323943661972,0.048506556580864495,0.017241379310344827,106421,160725
10025,1,NY,1146438.4615384615,0.09813084112149532,0.05184869051088812,0.03109255943706541,0.04240746138152142,0.04525960777782404,0.0806824332764292,0.18323479202231752,0.12652496148561435,0.14039014031727526,0.06441270766540368,0.06527667901902819,0.0917475121788733,0.04711246200607903,0.030009992921680478,74065,124739
10026,1627,NY,983869.2307692308,0.10958509412216673,0.0773688332028191,0.04988253719655442,0.05037849125554685,0.04510571652310102,0.08807099973897155,0.2056121117201775,0.14025058731401724,0.14095536413469067,0.06175933176716262,0.04617593317671626,0.05267554163403811,0.028817541111981208,0.01294701122422344,47264,79815
10035,1917,NY,783884.6153846154,0.10922764712904381,0.06488797169811321,0.048466981132075475,0.05076650943396226,0.06002358490566038,0.08658608490566037,0.18528891509433962,0.1330188679245283,0.15047169811320754,0.0607311320754717,0.046079009433962266,0.0611438679245283,0.035642688679245284,0.016892688679245284,27424,47759
10038,3430,NY,1099684.6153846155,0.06542803804782647,0.038622810286992174,0.029118524040253446,0.026882221393961982,0.07556839358926574,0.0869362653745807,0.26807677972418936,0.13981550503168094,0.09532240029817368,0.04300223630264629,0.05334513604174432,0.06121878494222885,0.05059634737234439,0.03149459560193813,76379,122181
10069,8192,NY,2050607.6923076923,-0.038794180872869066,0.09554831704668838,0.06351791530944625,0.01737242128121607,0.005609844372059356,0.02623959464350344,0.2985884907709012,0.248099891422367,0.09554831704668838,0.07473760405356497,0.021715526601520086,0.034925805284111475,0.013391241404270721,0.004705030763662686,163750,231265
10128,18,NY,1140930.7692307692,0.20920664493091135,0.05480646567732976,0.04544059941544076,0.035848660519644096,0.028210635102620826,0.05023656886333909,0.22470005005894036,0.1509842233597623,0.13570817252571576,0.049299982237150194,0.05554927576016923,0.08988002002357615,0.05661504674859108,0.02272029970772038,100200,172532
10280,7343,NY,841838.4615384615,0.023693875133278048,0.0852177554438861,0.05129815745393635,0.04093383584589615,0.021880234505862645,0.03768844221105527,0.2231993299832496,0.20571608040201006,0.14991624790619765,0.06019681742043551,0.047634003350083755,0.052763819095477386,0.02355527638190955,0.0,145432,193651
10301,2020,NY,467715.3846153846,0.09311250252474247,0.07289142798847204,0.06355683644061312,0.06557167997143513,0.07210079318523809,0.0907699762809559,0.12469075977454155,0.12938355989696243,0.13677982095947358,0.06498507995613252,0.05544645362034227,0.06779055829018847,0.03792496620673825,0.018108087428906627,54605,75227
10302,6883,NY,382538.46153846156,0.12335446123842028,0.07645193043858689,0.08224871486383026,0.05906157716285683,0.07513945094607896,0.06961609974844143,0.1591928251121076,0.12134966641146232,0.14787268948922674,0.0671005140544679,0.04713988843924314,0.04850705457727223,0.032866673958219406,0.013452914798206279,54170,70739
10303,5424,NY,325623.07692307694,0.12611575007198386,0.07203442944887811,0.06827393139180211,0.07316257886600092,0.07922115906906782,0.08728533823590857,0.14557305812058663,0.12021058789119625,0.1514645050766724,0.06864998119750972,0.04424852713826098,0.05711778715580997,0.02427610412401287,0.008482012284293653,52553,62834
10304,2177,NY,454723.07692307694,0.11945812807881774,0.06604488211343623,0.08126597860051131,0.06386705804374586,0.06845942619070164,0.07930120253763848,0.13483571631474292,0.12193447590190323,0.13604298835337564,0.060387273932392765,0.05927468989679008,0.07326484234447496,0.03418236909383581,0.021139096676451093,54106,82916
