listing_id,no_months
40453,12
7208745,12
17726161,12
6904576,12
238119,12
18002685,12
2128657,12
2193902,12
5796517,12
6692786,12
14413547,12
553872,12
4081465,12
13658462,12
399720,12
10035471,12
14945943,12
8593701,12
17944776,12
14449163,12
13495190,12
12303,12
15149591,12
1127029,12
18222186,12
472141,12
932277,12
4045412,12
15583911,12
18175351,12
7199049,12
17633249,12
1618877,12
1171581,12
8614461,12
1315753,12
2112142,12
15192145,12
4882405,12
16603008,12
1256556,12
16015050,12
9430133,12
787593,12
16599640,12
8813118,12
16056158,12
4936091,12
1724731,12
6866321,12
10987430,12
14104613,12
4704315,12
336085,12
12071724,12
975990,12
2670166,12
13237070,12
10089727,12
8402732,12
2093815,12
14406923,12
808476,12
7918355,12
6377019,12
2530757,12
16741935,12
15746594,12
10571112,12
4621713,12
12848299,12
13940096,12
107690,12
8272532,12
11941101,12
2304663,12
16648287,12
3344973,12
739738,12
13494965,12
14708,12
7883220,12
8442642,12
16465624,12
8723824,12
14453053,12
7653685,12
3774509,12
1691798,12
553862,12
840594,12
602250,12
8342998,12
15310220,12
1840445,12
14576702,12
7294234,12
10038170,12
5582038,12
12926164,12
13375627,12
17785009,12
2571224,12
8369701,12
702213,12
5076531,12
4068273,12
3973944,12
4412185,12
3449575,12
4331517,12
4724783,12
40248,12
1598033,12
397034,12
3808715,12
45910,12
3271549,12
17434184,12
15735305,12
14300750,12
10224832,12
11908036,12
12850370,12
5442977,12
3876850,12
253811,12
2011909,12
6776135,12
8411164,12
10996409,12
17266848,12
8815120,12
5094335,12
11097122,12
11775838,12
246896,12
9453356,12
6940110,12
16073589,12
9343634,12
16948224,12
10430715,12
10202365,12
1559460,12
1645867,12
1262523,12
10884683,12
3963085,12
16146493,12
3898625,12
5093278,12
479285,12
10512466,12
11261753,12
2953058,12
10403199,12
8149277,12
8576371,12
13945103,12
9136169,12
18507913,12
15898775,12
3713233,12
14037145,12
5582283,12
16959823,12
17046848,12
15485158,12
387666,12
8135403,12
6953066,12
10050536,12
14934101,12
6778675,12
3103784,12
9754436,12
12130236,12
17388649,12
8848547,12
11992348,12
12069335,12
7816930,12
4204302,12
53470,12
14368951,12
7387521,12
725414,12
634353,12
1441275,12
253846,12
2838061,12
15238740,12
15079046,12
12173146,12
12248905,12
59121,12
8830786,12
9779960,12
7939785,12
14139187,12
503460,12
16179103,12
9182088,12
6373238,12
9236790,12
4211459,12
6451722,12
9777581,12
4270689,12
12149352,12
258774,12
4878737,12
9452300,12
1497459,12
7398167,12
7559732,12
14687431,12
80684,12
13914468,12
12567868,12
7053165,12
1251889,12
249867,12
15370657,12
14769785,12
10098921,12
14196798,12
1498283,12
5228497,12
7590712,12
12069877,12
5106403,12
13065115,12
2919875,12
1320749,12
602966,12
14536043,12
12875084,12
10165181,12
9529607,12
16869999,12
16529837,12
6481580,12
329385,12
15734642,12
4415259,12
8683858,12
12852979,12
857810,12
5786059,12
2880864,12
5572393,12
83544,12
6543953,12
10478114,12
1221962,12
15042361,12
1439228,12
17759501,12
12153709,12
857696,12
13894666,12
7744591,12
3380344,12
1693028,12
6574537,12
12074125,12
9991265,12
8457294,12
1215122,12
250536,12
6836515,12
1561968,12
1442450,12
15451031,12
16601720,12
4937093,12
180507,12
7535873,12
17730808,12
1471952,12
5628342,12
4203606,12
3398697,12
4860951,12
6362684,12
14649979,12
9150647,12
3016623,12
9495502,12
2834341,12
2115530,12
1815647,12
15726176,12
4343956,12
1639436,12
2669352,12
3627326,12
2055671,12
13712336,12
6762315,12
7895928,12
2131349,12
14023496,12
16662012,12
1683227,12
8969760,12
17211777,12
12699267,12
7559836,12
12707463,12
3924619,12
13512427,12
8739326,12
11793417,12
9835998,12
15610621,12
4014739,12
8050221,12
6692191,12
6304643,12
12547051,12
18084651,12
10017822,12
7027583,12
4678487,12
4764877,12
15084304,12
3400999,12
3820734,12
1524895,12
28342,12
12175107,12
906829,12
6476333,12
8871581,12
8869871,12
8700324,12
548133,12
15818608,12
15675616,12
7789685,12
14486871,12
1596669,12
1448703,12
4111353,12
14946692,12
13282281,12
7527469,12
12112284,12
16310174,12
6543687,12
17830206,12
14692593,12
2197259,12
4045248,12
13508205,12
9955722,12
640899,12
762145,12
5679209,12
8830802,12
2046096,12
976242,12
8335539,12
13975292,12
1826701,12
1041746,12
14134381,12
13694021,12
4047638,12
13694116,12
18442196,12
161366,12
14731939,12
12272957,12
16242174,12
3683966,12
9077610,12
726630,12
14605582,12
2043082,12
7115965,12
6816981,12
6577316,12
2557018,12
10038410,12
6019488,12
12856705,12
4393563,12
14788846,12
16595,12
2661098,12
12642052,12
13280891,12
2871360,12
4642913,12
15353971,12
8194426,12
10055925,12
4450020,12
3583482,12
13880573,12
672724,12
14215719,12
8630001,12
1027162,12
8405555,12
6276183,12
4576239,12
96471,12
11844556,12
15970318,12
8668115,12
8225035,12
7526900,12
241538,12
19601,12
7782176,12
14731804,12
7859978,12
14976743,12
6491257,12
732818,12
4857055,12
16156394,12
2939700,12
2194263,12
16602294,12
6725463,12
4659046,12
2784311,12
12306300,12
13112632,12
7559955,12
16886221,12
16078766,12
11720032,12
4328669,12
6738594,12
16556049,12
15602234,12
14713830,12
1360932,12
6104951,12
4816040,12
15471365,12
1141120,12
1039631,12
9878121,12
1183005,12
4969766,12
16018970,12
10875705,12
294227,12
3152701,12
2241458,12
6360502,12
6100031,12
3292224,12
1309794,12
10756521,12
1206643,12
14449288,12
903614,12
7125699,12
16056948,12
4067324,12
344019,12
573478,12
253839,12
9575455,12
14142629,12
8994480,12
4936254,12
7693424,12
1824965,12
927408,12
18502806,12
16405853,12
3110978,12
4205336,12
490011,12
4695667,12
10354815,12
706347,12
898737,12
3466991,12
823245,12
4720725,12
18031944,12
7636284,12
2989220,12
4832416,12
17682410,12
3226763,12
11104126,12
10947986,12
11014002,12
15476794,12
17015287,12
3647,12
1332503,12
1123960,12
5594412,12
6602683,12
725270,12
4988190,12
294280,12
872069,12
16044142,12
9490638,12
7483113,12
9574455,12
983220,12
28321,12
3494791,12
11152281,12
10230847,12
18312728,12
6766259,12
13433027,12
7868588,12
9103531,12
6170845,12
4975611,12
1472722,12
397420,12
7454853,12
12398747,12
10186688,12
13345906,12
12523287,12
21644,12
6410759,12
2089226,12
3891031,12
15413648,12
977267,12
5591026,12
11274799,12
14405670,12
4067820,12
54694,12
15189969,12
1655390,12
2361020,12
7915831,12
4053095,12
11634797,12
2952861,12
13209317,12
4278389,12
16170499,12
13915647,12
3519515,12
8113407,12
6685949,12
5028490,12
1906596,12
3039888,12
13880772,12
4072088,12
16100032,12
12287442,12
9555092,12
14564123,12
13093388,12
8084550,12
9953403,12
14760402,12
15343230,12
17976564,12
2628191,12
8909891,12
103311,12
3993392,12
1832659,12
10634652,12
15263081,12
7023033,12
7785869,12
1467577,12
720601,12
517626,12
16146960,12
719914,12
3810921,12
960210,12
12002889,12
945820,12
548815,12
16845694,12
4000561,12
311356,12
13688888,12
6757929,12
5682992,12
4880365,12
2248323,12
14335665,12
14353256,12
8966074,12
4085609,12
5068640,12
6555427,12
17477535,12
9942544,12
3718836,12
2297259,12
644464,12
4962616,12
8554547,12
14201329,12
7385692,12
16066501,12
9715592,12
3946471,12
16099666,12
12988898,12
254168,12
10772764,12
11887590,12
9508335,12
4059037,12
5707249,12
4098497,12
10102103,12
17759868,12
14834287,12
3666015,12
6710367,12
14086584,12
16148907,12
4662215,12
9548693,12
10773703,12
3943630,12
5241757,12
253803,12
10616998,12
7278383,12
9024549,12
3914773,12
5120743,12
16504241,12
707387,12
9345841,12
7708195,12
848508,12
8898742,12
8234519,12
13294137,12
3789400,12
254131,12
12053854,12
300162,12
1177584,12
9898538,12
1387701,12
7535868,12
1480002,12
18051877,12
7895104,12
15867724,12
11498017,12
8713685,12
253466,12
1832223,12
5849825,12
5859848,12
1551164,12
1360368,12
17761193,12
12796391,12
9339253,12
15677928,12
2429485,12
12847337,12
9143760,12
16159901,12
841211,12
7105602,12
506527,12
4698707,12
13408775,12
247000,12
619471,12
18213852,12
16313272,12
7265331,12
17052,12
4921514,12
5872722,12
1362512,12
9118604,12
848699,12
16505076,12
6546196,12
5442313,12
18471220,12
63546,12
1437044,12
4966007,12
16437326,12
13192526,12
253800,12
69426,12
5262509,12
8090698,12
8966224,12
3499016,12
789606,12
17433572,12
16929837,12
16147304,12
14806578,12
16769880,12
4091629,12
1186057,12
18155497,12
808618,12
9573606,12
1363582,12
6494022,12
15556066,12
16516967,12
10155543,12
15269462,12
8615137,12
4179420,12
7034787,12
3789685,12
9104954,12
15409136,12
5015281,12
1815353,12
2141682,12
15127608,12
16123943,12
4766903,12
14801247,12
18392373,12
5925343,12
25192,12
17842629,12
2959848,12
9714250,12
11911515,12
12804616,12
14789240,12
2684223,12
2595,12
8547039,12
12301028,12
3592596,12
5649163,12
16601447,12
332208,12
10221874,12
4137129,12
15450165,12
8398742,12
10057826,12
1906993,12
4053983,12
692383,12
4240308,12
819956,12
3958976,12
16083168,12
12956498,12
15943946,12
3683236,12
3363364,12
13076,12
8989544,12
10766491,12
4262707,12
15206607,12
15332829,12
2168303,12
148907,12
8814574,12
8368084,12
12324499,12
6937897,12
6676250,12
18312334,12
7728222,12
7783483,12
5326138,12
2770821,12
1183628,12
15160743,12
12855015,12
9883768,12
16102308,12
68099,12
11335931,12
11465084,12
14027107,12
775016,12
3363879,12
12267522,12
6321475,12
531662,12
2021064,12
6663416,12
17976580,12
13156212,12
5028869,12
17462442,12
1059531,12
6055964,12
14340799,12
51850,12
3022246,12
4915953,12
9043290,12
8739642,12
1351640,12
14357767,12
7657656,12
18011412,12
10091438,12
15235395,12
7622697,12
10225698,12
189181,12
8648668,12
644575,12
9235960,12
1096326,12
9281366,12
16018094,12
4112306,12
11252884,12
500886,12
8146498,12
15397071,12
3437101,12
2307885,12
4909388,12
16162456,12
4529473,12
975359,12
17808825,12
17223442,12
8409542,12
8103766,12
13606847,12
5649623,12
16170566,12
4339924,12
1731969,12
14730708,12
867717,12
4736298,12
9707671,12
4091823,12
540131,12
10165313,12
6818511,12
11586941,12
1137999,12
18464859,12
6314008,12
15586859,12
15887617,12
16271468,12
9027933,12
16535339,12
18225702,12
678663,12
11916587,12
1327940,12
15470951,12
9716123,12
63610,12
8749948,12
11943,12
67890,12
1467392,12
15602702,12
9057892,12
16694463,12
13117259,12
294242,12
51852,12
1245624,12
4393767,12
15716242,12
9316143,12
11948586,12
180792,12
7162441,12
7244823,12
448049,12
8690773,12
243229,12
253815,12
6809562,12
11722160,12
13316073,12
16556211,12
15265977,12
10119201,12
352651,12
541725,12
6388047,12
14699,12
8762554,12
7319856,12
10358093,12
15203699,12
16085058,12
10297544,12
4073641,12
6326582,12
10940559,12
6056028,12
3782441,12
1304410,12
3209866,12
1687678,12
12051607,12
3225440,12
15962094,12
8991053,12
16087364,12
12265378,12
10658111,12
14698446,12
2115662,12
47362,12
8441969,12
5061575,12
8517102,12
4301625,12
1777905,12
10450820,12
13467391,12
3789265,12
31130,12
10860176,12
8615045,12
15639615,12
4638804,12
8381754,12
9674453,12
2546363,12
4809273,12
10229444,12
17718893,12
11939427,12
10549650,12
676295,12
16392751,12
3425838,12
7615626,12
125594,12
4587349,12
5510565,12
12472258,12
7461502,12
10363521,12
1296788,12
1060386,12
12145787,12
5309959,12
3066652,12
8869857,12
3441729,12
15218699,12
13561338,12
9593737,12
10967982,12
13047237,12
4718452,12
10204327,12
14491004,12
8980708,12
12287550,12
673061,12
746983,12
2023577,12
5730475,12
17011437,12
12309399,12
12005923,12
10553095,12
46723,12
13605174,12
3969367,12
1901823,12
14935799,12
912376,12
17757561,12
11973178,12
5202144,12
16155983,12
7527607,12
7996391,12
3413981,12
471914,12
3876513,12
6359942,12
14556111,12
6237065,12
4641291,12
14857018,12
712260,12
14910565,12
5680714,12
16579187,12
1183236,12
8734583,12
4604697,12
14654676,12
10622621,12
81739,12
2510190,12
9841890,12
10188546,12
42744,12
15876420,12
17693,12
15164619,12
200333,12
1981656,12
1441363,12
4861264,12
6966668,12
14968284,12
5957914,12
10155003,12
3570214,12
77765,12
17528071,12
586871,12
15600009,12
17078199,12
7168652,12
12956310,12
17679000,12
2165679,12
11189443,12
3852472,12
9886514,12
3709690,12
11097124,12
12063562,12
1975597,12
11148631,12
1026683,12
15218066,12
16098020,12
246134,12
1762997,12
4225455,12
1040018,12
16241140,12
15204878,12
13032021,12
8886739,12
771436,12
17895530,12
9827799,12
10307009,12
936065,12
10250852,12
4847855,12
4806949,12
8739683,12
15988278,12
3914962,12
2488022,12
11611264,12
6555240,12
3538609,12
18239175,12
17759953,12
1025786,12
7712634,12
5893277,12
8437599,12
16365022,12
7529908,12
4747011,12
855300,12
5250083,12
7747016,12
3731534,12
14694,12
1100753,12
6526579,12
531363,12
4976919,12
4760053,12
13004967,12
4081568,12
15900733,12
6374332,12
18449726,12
9162161,12
7288168,12
17719203,12
14014170,12
1380326,12
5863567,12
26520,12
1331231,12
13121,12
4688209,12
246952,12
843003,12
3546403,12
18257862,12
8967575,12
17573385,12
158061,12
17972519,12
10827307,12
1691188,12
12989356,12
6800274,12
17416959,12
12955683,12
8869095,12
8305649,12
4082062,12
4453406,12
3468919,12
3080615,12
448048,12
5628539,12
16368255,12
203907,12
5041296,12
1614964,12
3861943,12
4347296,12
4857038,12
1239293,12
14715771,12
14162899,12
253842,12
5220089,12
9926917,12
9121896,12
1466534,12
13084795,12
6445217,12
9449888,12
15207249,12
1644133,12
1879762,12
10434573,12
18120175,12
1251653,12
4263880,12
13723589,12
435776,12
1325473,12
17018418,12
2091483,12
14497121,12
536328,12
9200230,12
9297148,12
16394064,12
14857489,12
14824160,12
2545486,12
12924969,12
1966694,12
2880926,12
15601612,12
659880,12
8440383,12
4994497,12
186178,12
8730247,12
4325724,12
3550879,12
3519489,12
4482166,12
10085478,12
8715038,12
1974128,12
288279,12
1239105,12
6986570,12
10974609,12
9250196,12
2056789,12
7675994,12
9196017,12
6799944,12
15206836,12
2349385,12
923376,12
7549663,12
2326253,12
10774201,12
6222187,12
7746303,12
256328,12
15180279,12
15205915,12
5536824,12
11690749,12
16087249,12
1292553,12
1767391,12
1107299,12
1163843,12
17316985,12
6313994,12
4536637,12
9110554,12
16412823,12
17905881,12
1460145,12
5849756,12
4251490,12
255996,12
10173489,12
12535784,12
14881877,12
11647490,12
268978,12
611408,12
7024342,12
14466722,12
16110083,12
8129018,12
8723673,12
258686,12
16393331,12
17707963,12
4103146,12
8574989,12
1634856,12
147006,12
11778351,12
14520140,12
671303,12
4978214,12
2223628,12
4617139,12
3793161,12
1143727,12
10464709,12
8636411,12
5488011,12
253828,12
9444059,12
17996625,12
2994273,12
8908388,12
6662967,12
4271132,12
7826033,12
3487068,12
248865,12
326956,12
5309217,12
9208352,12
4089492,12
13098373,12
3354367,12
7658409,12
14104279,12
6384378,12
15829097,12
8170917,12
12865936,12
7923681,12
6241689,12
6276737,12
1631845,12
11116289,12
14369625,12
12186431,12
4151641,12
7356030,12
1817807,12
3952502,12
17572145,12
6014853,12
4464508,12
9138932,12
1290605,12
16929532,12
5396863,12
18158880,12
5121,12
18078720,12
13060456,12
8213204,12
9218893,12
26864,12
808509,12
4347219,12
5850035,12
10224564,12
2793740,12
10173271,12
14744489,12
14206639,12
840873,12
1690764,12
963532,12
1887874,12
828685,12
8520667,12
14218667,12
58471,12
15347268,12
4856693,12
3185829,12
5252531,12
6556411,12
11910402,12
15674321,12
14713835,12
6544718,12
7433174,12
1307137,12
3290309,12
14570492,12
10116043,12
5740147,12
3568596,12
15599480,12
2965008,12
10657771,12
15856063,12
5272504,12
629893,12
10512575,12
4242976,12
8841891,12
5538720,12
2350049,12
18504151,12
15889358,12
3523001,12
7679091,12
8182629,12
9875791,12
14498160,12
4725251,12
1209492,12
7172127,12
4724661,12
9239720,12
5613572,12
658932,12
382523,12
2568543,12
4777903,12
3924325,12
10209283,12
9674869,12
15493,12
16170479,12
5037772,12
7689651,12
5726103,12
3146497,12
14821756,12
833519,12
1519994,12
13765308,12
4772358,12
6262339,12
13157147,12
4386187,12
15482994,12
14319849,12
12688076,12
69755,12
14090449,12
16646552,12
1460464,12
2202752,12
15493595,12
7511208,12
9730936,12
5258014,12
15410387,12
13230911,12
402037,12
1886820,12
61482,12
6833395,12
6377374,12
16810657,12
2815750,12
813680,12
2620676,12
7145874,12
14403588,12
294259,12
10504508,12
10386936,12
15155219,12
12850815,12
15218299,12
4610675,12
9853129,12
6185175,12
8727973,12
10305265,12
8204305,12
5060118,12
7054797,12
13410317,12
773497,12
9715956,12
9350316,12
561732,12
9841695,12
14609501,12
4146226,12
3728552,12
7401573,12
6031001,12
5184738,12
13755429,12
14384342,12
16031399,12
8515213,12
4263843,12
8985115,12
4533140,12
4416984,12
3718951,12
11947316,12
4509357,12
7240830,12
692397,12
606623,12
2138787,12
8212051,12
9698821,12
3644017,12
4322054,12
11691284,12
1121502,12
16545940,12
231617,12
17256433,12
7525090,12
4209616,12
2694111,12
11007719,12
12114201,12
8615671,12
6071456,12
13938084,12
3212765,12
13574552,12
11724036,12
15256000,12
9880664,12
12648471,12
14179828,12
796381,12
5822382,12
3783173,12
2008361,12
12972040,12
16058787,12
244235,12
1738285,12
15649001,12
12980468,12
9164770,12
4501609,12
80700,12
12318756,12
6323824,12
3749631,12
2838335,12
16338643,12
10598766,12
15747337,12
2530145,12
15325255,12
3061221,12
12841511,12
4056741,12
11912865,12
4917151,12
12296200,12
14333824,12
4940859,12
752437,12
640910,12
14473132,12
294490,12
8194194,12
3074927,12
53477,12
1717215,12
54040,12
3242138,12
10143655,12
9064211,12
9436038,12
7272680,12
10102418,12
12628117,12
14450854,12
13861448,12
14928864,12
4446024,12
2357070,12
8564046,12
719621,12
14610148,12
14468,12
13869323,12
6491190,12
10009751,12
11894427,12
253475,12
346527,12
8704666,12
12560137,12
787968,12
16775768,11
18283827,11
6912675,11
18496331,11
3944200,11
6001852,11
906038,11
16258209,11
16028015,11
8781958,11
16959519,11
18210429,11
8044856,11
126067,11
14800664,11
13329024,11
11605696,11
14530035,11
194236,11
15006226,11
6054656,11
3272610,11
17546833,11
10086307,11
14730814,11
801260,11
4567024,11
951365,11
13325996,11
5495927,11
4041351,11
5208105,11
14522584,11
7224086,11
9786398,11
12732671,11
16255259,11
14500735,11
774791,11
18191695,11
7709241,11
10540175,11
15746329,11
14748016,11
15917519,11
12166897,11
4400008,11
10516424,11
6730582,11
363950,11
15068460,11
15164235,11
7450973,11
14276005,11
8799575,11
8565339,11
6668981,11
8210423,11
4199123,11
7860155,11
16677753,11
13476824,11
14594842,11
16302823,11
17752375,11
63657,11
12823353,11
13276227,11
15755967,11
10880486,11
1302684,11
16302024,11
1263054,11
6389979,11
5693879,11
7815865,11
16721137,11
6596562,11
170847,11
4942200,11
18076911,11
12948486,11
4416970,11
7760545,11
4385360,11
14967904,11
953437,11
3139749,11
14758548,11
15454635,11
932410,11
9314873,11
15734301,11
8575163,11
13822852,11
17830168,11
7913426,11
17839469,11
15036866,11
7660047,11
1212319,11
17547338,11
510543,11
12902256,11
2213715,11
17042247,11
2194038,11
8652556,11
14521332,11
1764106,11
5863458,11
31902,11
6005682,11
4654374,11
14927635,11
1633420,11
7859953,11
6627730,11
18507804,11
12467337,11
290123,11
1220962,11
14602831,11
9555256,11
495651,11
13001082,11
2188359,11
4173107,11
15855036,11
7272530,11
8454886,11
15084368,11
11414852,11
10131572,11
9952400,11
9461803,11
1166546,11
3693901,11
8873479,11
17229367,11
3553124,11
9613130,11
10204208,11
3835766,11
14321664,11
18004658,11
14789576,11
916729,11
3003729,11
14725750,11
1941439,11
13204434,11
7712094,11
11583409,11
15772067,11
14000558,11
9550423,11
16962471,11
13923941,11
17848033,11
337922,11
2723546,11
7900957,11
13295613,11
5050157,11
12299,11
3915771,11
14787826,11
16252761,11
4449559,11
15359306,11
3913373,11
11033590,11
1453195,11
18311851,11
13184355,11
5480021,11
12519039,11
18490141,11
1325472,11
4518654,11
